ra,dec,shows_top,fig,accepted_fit,ra_deg,dec_deg
00h46m00.29,41d57m15.64,False,9,True,11.501208333333333,41.954344444444445
00h45m58.19,41d57m34.36,True,9,True,11.492458333333332,41.95954444444445
00h45m56.08,41d57m53.07,False,9,True,11.483666666666666,41.96474166666667
00h45m54.45,41d54m20.51,False,9,True,11.476875,41.90569722222222
00h45m51.93,41d54m17.68,True,9,True,11.466375,41.90491111111111
00h45m49.42,41d54m14.84,False,9,True,11.455916666666665,41.90412222222222
00h42m23.35,41d29m46.95,False,9,True,10.597291666666663,41.496375
00h42m21.24,41d30m05.28,True,9,True,10.588499999999998,41.501466666666666
00h42m19.14,41d30m23.60,False,9,True,10.579749999999997,41.50655555555556
00h40m59.54,40d46m59.88,False,10,True,10.248083333333332,40.7833
00h40m57.46,40d47m18.24,True,10,True,10.239416666666665,40.788399999999996
00h40m55.36,40d47m36.60,False,10,True,10.230666666666666,40.7935
00h39m57.09,40d36m19.70,False,10,True,9.987874999999999,40.605472222222225
00h39m55.00,40d36m37.97,True,10,True,9.979166666666664,40.61054722222222
00h39m52.91,40d36m56.23,False,10,True,9.970458333333333,40.61561944444445
00h39m20.40,40d33m08.68,False,10,True,9.834999999999999,40.552411111111105
00h39m18.31,40d33m26.87,True,10,True,9.826291666666666,40.55746388888888
00h39m16.22,40d33m45.05,False,10,True,9.817583333333332,40.56251388888889
00h45m20.57,41d49m28.46,True,14,True,11.335708333333333,41.82457222222222
00h42m20.85,41d29m43.45,False,14,True,10.586874999999997,41.49540277777778
00h45m22.01,42d00m23.76,False,14,True,11.341708333333331,42.0066
00h45m42.54,41d46m50.71,False,14,True,11.427249999999999,41.78075277777778
00h45m00.28,41d30m07.17,True,14,True,11.251166666666665,41.50199166666667
00h39m31.41,40d22m34.67,True,14,False,9.880875,40.37629722222222
00h41m06.93,40d37m48.90,True,14,False,10.278874999999998,40.630250000000004
00h44m54.95,42d00m48.11,True,14,False,11.228958333333331,42.01336388888889
00h44m44.09,41d27m39.86,True,14,False,11.18370833333333,41.46107222222223
