ra,dec,shows_top,fig,accepted_fit,ra_deg,dec_deg
00h46m00.29,41d57m15.64,False,9,True,11.501208333333333,41.954344444444445
00h45m58.19,41d57m34.36,True,9,True,11.492458333333332,41.95954444444445
00h45m56.08,41d57m53.07,False,9,True,11.483666666666666,41.96474166666667
00h45m54.45,41d54m20.51,False,9,True,11.476875,41.90569722222222
00h45m51.93,41d54m17.68,True,9,True,11.466375,41.90491111111111
00h45m49.42,41d54m14.84,False,9,True,11.455916666666665,41.90412222222222
00h45m20.57,41d49m28.46,True,14,True,11.335708333333333,41.82457222222222
00h45m22.01,42d00m23.76,False,14,True,11.341708333333331,42.0066
00h45m42.54,41d46m50.71,False,14,True,11.427249999999999,41.78075277777778
00h45m00.28,41d30m07.17,True,14,True,11.251166666666665,41.50199166666667
00h44m54.95,42d00m48.11,True,14,False,11.228958333333331,42.01336388888889
00h44m44.09,41d27m39.86,True,14,False,11.18370833333333,41.46107222222223
