Tpeak,Ts,sigma,p_Tpeak,p_Ts,p_sigma,delta_BIC_mean,delta_BIC_std
10.0,15.0,1.0,0.86,0.99,0.91,16.024682158211597,26.152490794196954
10.0,15.0,3.0714285714285716,0.96,1.0,0.98,18.060524522903165,28.7381911580815
10.0,15.0,5.142857142857143,0.94,0.98,0.98,19.306869240178646,37.300623242659285
10.0,15.0,7.214285714285715,0.91,0.98,0.94,17.65743588335979,38.36935239627809
10.0,15.0,9.285714285714286,0.96,0.93,0.97,14.175414675359011,35.925378473102064
10.0,15.0,11.357142857142858,0.87,0.93,0.94,26.10504838310096,43.19346985359901
10.0,15.0,13.42857142857143,0.81,0.95,0.88,28.18538298474929,44.557510534109554
10.0,15.0,15.500000000000002,0.87,0.97,0.91,30.9411411874682,35.521369752122084
10.0,15.0,17.571428571428573,0.89,0.95,0.93,38.48810738635534,55.57745008736901
10.0,15.0,19.642857142857146,0.9,0.96,0.96,65.76573880548061,62.03960311190251
10.0,15.0,21.714285714285715,0.9,0.92,0.96,72.19801163583777,74.34603318029107
10.0,15.0,23.78571428571429,0.85,0.92,0.87,96.18775779785818,80.92276997961366
10.0,15.0,25.85714285714286,0.9,0.91,0.96,102.75988161510055,83.34495507537027
10.0,15.0,27.92857142857143,0.89,0.96,0.87,121.34182635451778,87.1031882374607
10.0,15.0,30.0,0.96,0.97,0.95,163.90356659324164,107.1105595173869
10.0,85.35714285714286,1.0,0.85,0.92,0.96,32.853601737289154,43.68620907937159
10.0,85.35714285714286,3.0714285714285716,0.95,0.63,0.96,29.951747310468054,38.68355306719306
10.0,85.35714285714286,5.142857142857143,0.96,0.65,0.98,37.88227255170218,60.94802221053414
10.0,85.35714285714286,7.214285714285715,0.98,0.59,0.91,11.368044980190398,35.60668639777778
10.0,85.35714285714286,9.285714285714286,0.95,0.6,0.87,8.285607949240609,25.889541124069
10.0,85.35714285714286,11.357142857142858,0.98,0.51,0.87,14.029133498515748,32.500943330991795
10.0,85.35714285714286,13.42857142857143,0.99,0.54,0.91,22.785912815796518,42.39626169518907
10.0,85.35714285714286,15.500000000000002,0.98,0.63,0.86,28.085441076481917,39.447515541893736
10.0,85.35714285714286,17.571428571428573,1.0,0.47,0.83,49.13034658662945,60.42529939745086
10.0,85.35714285714286,19.642857142857146,0.95,0.63,0.81,48.92364485207639,62.106336333899385
10.0,85.35714285714286,21.714285714285715,0.94,0.54,0.87,53.18471201123901,71.18839686286034
10.0,85.35714285714286,23.78571428571429,0.94,0.6,0.74,77.98141027449861,85.93744503915116
10.0,85.35714285714286,25.85714285714286,0.98,0.62,0.85,76.88376048917895,93.28002055127679
10.0,85.35714285714286,27.92857142857143,0.95,0.61,0.85,98.54653334164,108.82391892927008
10.0,85.35714285714286,30.0,0.98,0.61,0.86,111.71064005606864,114.35864272554572
10.0,155.71428571428572,1.0,0.9,0.79,0.99,32.86785993707361,37.756427570641335
10.0,155.71428571428572,3.0714285714285716,0.91,0.46,0.99,29.085341907963702,39.007710925426586
